Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: Avillion Bhd,Consumer,3.7,1.3,5.22,2.61,5.82,9643,2688,12744,18801,-1841,-5874,-14832,100,-1759,-5721,-13059,-327,43876,-21536,0.22,0,5680,96810,161280,202290,0.78,0.2,0.09,-0.106461021,0.797271244,0.216896535,-49.08378157,-1.739269188,-102.4717514,-212.8348214,-18.24121124,7.724647887
klse: SCGM Bhd,Crude Oil,4.6,4.2,2.39,4.55,7.35,61011,57223,49662,51636,10740,8674,5869,3638,9610,8266,6863,4181,219532,28920,0.88,0,14080,90230,124670,175520,1.38,0.79,0.07,0.164767548,0.710289426,1.250752051,13.17347813,8.097064064,13.81941927,14.44524055,15.75125797,15.59176136
klse: Sarawak Plantation Bhd,Agricultural Commodities,5.1,4.7,4.77,6.13,4.96,137223,97422,98881,108924,27160,25655,8366,10717,19521,19392,5818,8675,442450,53944,1.98,0,82640,113400,305450,563290,1.3,0.91,0.7,0.095765946,0.542260647,0.785474622,12.1921121,7.964268664,5.883840172,19.90515489,14.22574933,5.353944821
klse: Fitters Diversified Bhd,Miscellaneous Manufacturing,4.7,2.4,6.46,3.33,6.6,58601,51990,54042,64860,1021,-926,-6392,-760,646,-675,-6440,-1953,229493,-10557,0.82,5510,17720,94850,157910,361650,2.02,1.04,0.11,-0.029191207,0.436637633,0.6345721,-4.600140309,-3.011100833,-11.91665741,-1.298326601,1.102370267,12.95107223
klse: Latitude Tree Holdings Bhd,Home Furnishings,5.9,5,6.32,6.07,6.1,234976,138561,142226,209251,16751,2139,3510,9350,13093,326,2608,7205,725014,23232,6.09,0,169180,111740,222160,578000,2.16,1.2,0.83,0.040193772,0.384359862,1.254349481,3.204351916,3.443233246,1.833701292,0.235275438,5.572058423,4.285459274
klse: Scicom (MSC) Bhd,Data Processing Services,5.5,4.9,3.24,7.87,5.82,52499,42483,44959,45796,9164,4915,7369,9104,6776,4397,5073,6159,185737,22400,0.29,9700,29120,8310,20160,102970,5.07,5.07,1.61,0.217539089,0.19578518,1.803797222,12.06006342,13.44877282,11.28361396,10.35002236,12.90691251,6.378331044
klse: Vitrox Corp. Bhd,Electronic Equipments,3.6,2.4,0.68,4.28,6.95,123748,96546,90291,95096,31521,23675,21941,17210,29714,22922,21065,17792,405681,91493,1.02,90,211320,47410,143850,513940,4.94,3.68,2.16,0.178022726,0.279896486,0.789354788,22.55294184,18.7095146,23.3301215,23.74205042,24.0117012,1.919747303
klse: Solid Automotive Bhd,Wholesale Distributors,5,3.8,5.9,3.96,6.21,76281,73622,44103,63493,2412,2687,-7935,691,2111,2590,-8666,500,257499,-3452,0.36,2300,23290,51740,96640,145070,2.2,1.06,0.22,-0.023795409,0.666161164,1.774998277,-1.34058773,0.787488385,-19.64945695,3.517970172,2.767399483,11.05620438
klse: Bermaz Auto Bhd,Specialty Stores,5.6,5.2,2.47,8.01,6.71,599844,448894,299360,467463,33900,13115,3199,34347,24790,9245,2459,27150,1815561,63558,0.4,500,372890,373870,755390,480900,1.55,0.38,0.17,0.132164691,1.570783947,3.775339988,3.500736136,5.807946297,0.821419027,2.059506253,4.132741179,4.86889163
klse: Perusahaan Sadur Timah Malaysia (Perstima) Bhd,Industrial Products,5.6,5.3,6.11,6.81,4.06,222494,200648,191069,203593,19562,13531,7024,8295,15216,10443,4605,6325,817804,36589,4.05,0,78030,33160,57310,415070,4.32,2.32,1.24,0.088151396,0.138073096,1.970279712,4.474054908,3.106688344,2.410124091,5.204636976,6.838836103,10.48063565
klse: Solarvest Holdings Berhad,Industrial Products,3.6,3,0.21,3.73,7.38,62163,28750,51350,62120,5708,1286,2845,4834,4001,814,3814,3978,204383,13040,0.21,0,67340,27380,83810,81660,2,1.72,0.85,0.159686505,1.02632868,2.502853294,6.380178391,6.403734707,7.427458617,2.831304348,6.436304554,3.035090585
klse: Widetech (Malaysia) Bhd,Metal Fabrication,3.9,3.5,6.05,5.7,0.56,2703,2175,2067,2187,-2420,-67,-318,272,-2423,-63,-360,228,9132,-2676,0.85,0,23260,2550,3740,38120,18.03,17.32,14.31,-0.07019937,0.098111228,0.239559286,-29.30354796,10.42524005,-17.41654572,-2.896551724,-89.64113947,0.392605331
klse: United U-Li Corp. Bhd,Miscellaneous Manufacturing,3.9,2.1,3.46,4.1,5.82,51110,17199,40007,53015,5653,-4462,-467,2243,5058,-4396,-560,-427,161331,-325,1.31,0,79490,34380,55570,280920,3.63,2.43,1.06,-0.001156913,0.197814324,0.574295173,-0.201449195,-0.805432425,-1.399755043,-25.55962556,9.896302094,2.029576047
klse: Hai-O Enterprise Bhd,Food and Beverages,5.6,4.9,4.03,7.85,5.48,66137,71246,53687,67021,13547,13653,10879,10983,10352,10263,9567,7599,258091,37630,1.03,90,105750,4670,43330,310120,4.46,2.5,2.01,0.121340126,0.139720108,0.83222946,14.58012871,11.33823727,17.81995641,14.40501923,15.65235798,2.440576832
klse: Innity Corp. Bhd,Marketing Services,1.7,1.9,1.19,3.68,0.14,41735,31428,37387,53489,8906,4542,4167,10254,6584,3132,2750,7910,99392,-4259,0.26,0,36770,21820,46240,132800,1.05,0.43,0.32,-0.032070783,0.348192771,0.748433735,-4.285053123,14.78808727,7.3554979,9.965635739,15.77572781,2.703073157
klse: TRC Synergy Bhd,Engineering,5.9,6.6,7.46,5.2,4.48,189983,139386,137632,190906,8328,12429,4187,5971,5742,11180,-414,3682,657907,20110,0.89,0,280730,212150,597290,421970,1.37,1.13,0.52,0.047657416,1.415479773,1.559132166,3.056663024,1.928697893,-0.300802139,8.020891625,3.022375686,2.343557867
klse: Petronas Gas Bhd,Oil and Gas ,6.1,4.7,4.48,7.31,7.96,1407423,1399818,1396136,1372379,808107,711923,448958,588271,591013,547097,368123,485273,5575756,2054183,6.69,0,4250000,4020000,6100000,13210000,5.17,5.09,4.06,0.15550212,0.461771385,0.422085995,36.84133596,35.35998438,26.36727368,39.08343799,41.99256371,1.311942588
klse: Cahya Mata Sarawak Bhd,Building Materials,6.1,4.6,6.15,5.78,7.73,428416,206837,282454,456471,81729,22993,26807,20202,46711,16707,17283,5359,1374178,109486,2.46,99850,713720,877090,1330000,2680000,2.98,2.16,1.42,0.040852985,0.496268657,0.512752985,7.967381227,1.174006673,6.118872454,8.077374938,10.90318756,1.925374096
klse: YNH Property Bhd,Agricultural Commodities,3.1,2.4,3.59,1.81,4.61,50677,23054,66588,90336,2210,2473,4183,24870,1355,821,3003,17753,230655,22932,2.2,17630,60400,1080000,1500000,907000,0.79,0.19,0.01,0.025283352,1.653803749,0.254305402,9.94212135,19.65218739,4.509821589,3.561204129,2.673796791,3.818791391
klse: Boustead Holdings Bhd,Industrial Products,3.5,1.5,4.84,0.44,7.04,1890800,1499300,2260900,2548400,-14300,-57400,-53300,-1349800,-51800,-73700,-73100,-1125700,8199400,-1471000,1.85,367900,623800,8550000,11810000,3570000,0.54,0.39,0.12,-0.412044818,3.308123249,2.2967507,-17.9403371,-44.17281431,-3.233225707,-4.915627293,-2.73958113,13.14427701
klse: Seacera Group Bhd,Building Materials,4.4,2.4,6.85,3.73,4.84,1488,828,649,331,125,18253,169,240,111,18308,161,161,3296,18741,1.16,0,80,24810,180040,713610,0.31,0.31,0,0.026262244,0.252294671,0.004618769,568.598301,48.64048338,24.80739599,2211.111111,7.459677419,41.2
klse: DPS Resources Bhd,Home Furnishings,5.3,3.8,6.56,4.47,6.25,15190,7333,14222,13394,2824,474,85,10914,2824,474,141,10914,50139,14353,0.21,0,4590,10380,20520,127160,5.35,3.72,0.45,0.112873545,0.1613715,0.394298522,28.62641856,81.48424668,0.991421741,6.463930179,18.59117841,10.92352941
klse: P.A. Resources Bhd,Aluminum,4,2.5,1.34,4.19,7.87,62761,53410,51532,53894,3405,3094,3274,2261,3405,2997,3210,2261,221597,11873,0.06,0,6550,10510,21840,135100,2.09,1.17,0.07,0.08788305,0.161658031,1.640244264,5.357924521,4.195272201,6.229139176,5.611308744,5.425343764,33.83160305
klse: Mikro MSC Bhd,Electronic Equipments,4.2,2.9,3.99,5.07,4.69,15825,8098,9067,16911,2138,444,280,2946,1366,171,102,2305,49901,3938,0.16,36850,17880,9230,16320,97030,8.21,6.23,2.72,0.040585386,0.168195403,0.514284242,7.891625418,13.63018154,1.124958641,2.111632502,8.631911532,2.790883669
klse: Grand Hoover Bhd,Engineering,3.2,1.8,4.02,2.95,4.04,17444,6134,11499,15088,1362,-3063,-651,197,423,-1859,-757,-203,50165,-2328,1.05,1150,2910,13650,33730,41880,1.69,1.15,0.09,-0.055587393,0.805396371,1.197827125,-4.640685737,-1.345440085,-6.583181146,-30.30648843,2.424902545,17.23883162
klse: SWS Capital Bhd,Home Furnishings,2.5,1.9,1.1,2.45,4.64,44907,21156,31236,43625,2333,315,-1619,-2484,1816,-27,-1624,-1807,140924,-1921,0.54,0,8890,60780,86670,88520,1.14,0.55,0.11,-0.02170131,0.979100768,1.592001808,-1.363146093,-4.142120344,-5.19912921,-0.127623369,4.043912976,15.8519685
klse: MAA Group Bhd,Insurance,5.4,3,6.64,7.63,4.46,59775,50161,54332,54139,26180,29160,-28564,-27479,22760,23171,-30497,-26258,218407,-10647,1.79,27790,508800,135090,9860,281970,1.33,0,0,-0.037759336,0.034968259,0.774575309,-4.874843755,-48.50108055,-56.1308253,46.19325771,38.07611878,0.429259041
klse: Serba Dinamik Holdings Bhd,Engineering,6.1,6.3,5.22,5.05,8,1481880,1437878,1278669,1360549,164839,166486,147685,139118,147996,147880,133720,140883,5558976,570232,0.79,118430,1420000,3750000,4460000,3080000,4.28,3.29,1.47,0.18514026,1.448051948,1.804862338,10.25786044,10.3548641,10.45774943,10.28459995,9.987043485,3.914771831
klse: Comfort Gloves Bhd,Industrial Products,5,4.2,1.66,4.82,9.49,276688,197952,152907,138645,117526,56886,22242,13227,90329,42797,16339,10242,766192,159707,0.53,20,62970,91600,206240,369830,1.76,1.23,0.29,0.431838953,0.557661628,2.07174107,20.84425314,7.387211944,10.68558012,21.61988765,32.64651882,12.16757186
klse: Mulpha International Bhd,Hotels and Resorts,5.6,5.6,8.83,3.65,4.28,139768,91024,161429,319243,-28247,-46239,-18235,171594,-25394,-37064,-10649,184553,711464,112800,8.98,2690,448130,2060000,2380000,2820000,1.18,0.64,0.32,0.04,0.843971631,0.252292199,15.85463214,57.80956826,-6.59670815,-40.71893127,-18.16867953,1.58762859
klse: Mitrajaya Holdings Bhd,Engineering,5.8,4.3,7.6,5.5,5.76,117521,45558,99068,154635,6008,6243,-1879,-22247,3153,4711,-2334,-710,416782,-82,0.86,2390,17530,135820,377320,699490,1.79,1.1,0.04,-0.000117228,0.539421579,0.595836967,-0.019674554,-0.45914573,-2.355957524,10.34066465,2.682924754,23.77535653
klse: Binasat Communications Bhd,Construction,4.7,3.6,4.85,4.67,5.63,13040,11407,10210,12240,1797,686,230,1743,1225,369,135,1304,46897,3372,0.3,0,40550,20560,28220,78860,7.37,7.37,4.72,0.04275932,0.357849353,0.594686787,7.190225388,10.65359477,1.322233105,3.23485579,9.394171779,1.156522811
klse: Hock Seng Lee Bhd,Engineering,5.7,5.7,6.72,6.55,3.91,161156,83052,112396,187634,13031,5402,10126,13702,10866,3953,7553,10124,544238,32570,1.49,0,253290,52810,294260,829460,2.77,2.1,0.7,0.039266511,0.354760929,0.656135317,5.984514128,5.395610604,6.719990035,4.759668641,6.742535183,2.148675431
klse: IJM Plantations Bhd,Agricultural Commodities,4,3.3,4.07,3.67,5.13,211370,205985,195393,237812,-2430,115298,-73438,33303,-1040,82116,-76387,20063,850560,19896,1.35,0,267400,921650,1160000,1350000,1.64,1.28,1.03,0.014737778,0.859259259,0.630044444,2.339164786,8.436496056,-39.094031,39.86503872,-0.492028197,3.180852655
klse: Y&G Corp. Bhd,Engineering,3.6,3.2,6.84,4.5,0,11459,6037,7446,14629,1341,301,-84,1602,758,107,-1027,1154,39571,1000,1.34,0,57910,37170,78690,292550,3.08,1.58,1,0.003418219,0.268979662,0.135262348,2.527103182,7.888440768,-13.79264034,1.772403512,6.614887861,0.683318943
klse: Lysaght Galvanized Steel Bhd,Miscellaneous Manufacturing,5.6,5.4,7.36,7.35,2.21,15549,6281,14715,18677,1050,-1227,2012,2340,746,-902,1615,1822,55222,3281,3.71,10,65860,572,6620,155390,15.53,10.97,8.77,0.021114615,0.042602484,0.355376794,5.941472601,9.755314023,10.97519538,-14.36077058,4.797736189,0.838475554
klse: Boilermech Holdings Bhd,Construction,4.5,4,2.87,5.45,5.79,64331,32028,59811,53071,10170,3541,8610,7624,6048,2342,6086,5675,209241,22091,0.41,3930,82320,12900,115940,218600,2.53,2.09,0.71,0.101056725,0.530375114,0.957186642,10.55768229,10.69322229,10.1753858,7.312351692,9.401377252,2.541800292
klse: Mesiniaga Bhd,Information Technology Services,3.5,1.8,4.14,4.47,3.72,51452,41834,45899,212396,-4188,-2810,1894,13852,-4314,-2922,1789,11356,351581,6170,1.89,840,26270,3860,57710,112970,1.46,1.4,0.92,0.05461627,0.510843587,3.112162521,1.754929874,5.346616697,3.897688403,-6.984749247,-8.384513722,13.38336506
klse: My E.G. Services Bhd,Information Technology Services,4.6,3.8,0.99,4.79,8.66,136096,124336,121741,119692,70830,64017,58822,69494,70743,63058,58842,69283,501865,260268,0.15,18980,249830,177040,405980,822590,1.77,1.75,0.42,0.316400637,0.493538701,0.610103454,51.8601616,57.8844033,48.33375773,50.71580234,51.98021984,2.008826002
klse: Revenue Group Bhd,Packaged Software,3.2,2.4,0.01,3.91,6.44,19559,23475,15514,22731,3398,1956,1052,4789,2109,455,649,3444,81279,8439,0.22,9950,37790,7960,40350,74470,1.55,1.34,0.73,0.1133208,0.541828924,1.091432792,10.38275569,15.15111522,4.183318293,1.938232162,10.78275985,2.150807092
klse: Complete Logistic Services Bhd,Marine Shipping,6.8,5.4,7.52,9.01,5.39,12663,8486,16759,31866,1520,790,39115,4567,1313,518,39236,3172,69774,43941,1.41,0,77140,31020,41630,158870,9.01,9.01,7.56,0.276584629,0.262038144,0.439189274,62.97618024,9.954183142,234.1189808,6.104171577,10.36879097,0.904511278
klse: Kejuruteraan Asastera Bhd,Engineering,2.9,2.4,0.01,3.64,5.55,43521,26308,31660,48947,2217,215,2009,4765,1369,105,1486,3537,150436,6416,0.21,0,26960,15370,60150,70670,2.02,2.02,0.62,0.09078817,0.851139097,2.12871091,4.264936584,7.226183423,4.693619709,0.399118139,3.145607867,5.579970326
klse: Jade Marvel Group Bhd,Building Materials,2.2,2,2.11,3.77,0.81,2779,1360,2809,4691,-771,-476,-5358,-108,-770,-476,-5261,-620,11639,-7127,0.68,590,1510,6940,10770,85400,3.92,0.63,0.2,-0.083454333,0.126112412,0.136288056,-61.23378297,-13.21679812,-187.2908508,-35,-27.70780856,7.70794702
klse: Berjaya Corp. Bhd,Construction,4,1.6,5.94,1.36,7.21,1943623,859019,1975461,2082837,10883,-380803,538082,-61664,-58952,-345806,412521,-134422,6860940,-120864,1.27,5220400,1590000,7550000,11960000,6540000,1.22,0.88,0.3,-0.018480734,1.828746177,1.049073394,-1.7616245,-6.453793552,20.88226495,-40.25591983,-3.033098497,4.315056604
klse: Malaysia Airports Holdings Bhd,CPO,4.7,3.5,3.12,4.29,7.87,396687,272180,933836,1344429,-384857,-268347,-35547,46146,-319718,-91068,-20387,29513,2947132,-401660,5.62,16230010,2270000,6060000,13330000,8110000,1.34,1.29,0.98,-0.04952651,1.643649815,0.363394821,-13.62884323,2.195207036,-2.183145649,-33.45874054,-80.59704503,1.298296035
klse: Lion Industries Corp. Bhd,Steel,5.1,2.4,6.75,4.04,7.34,710494,465146,555193,641729,-12877,-129304,-55788,-96627,-35451,-135907,-57871,-98831,2372562,-319909,1.82,0,331510,197720,1100000,1250000,1.19,0.78,0.33,-0.2559272,0.88,1.8980496,-13.483694,-15.40073769,-10.42358243,-29.21813796,-4.989626936,7.156833881
klse: Zhulian Corp. Bhd,Industrial Products,6.3,4.8,5.76,8.99,5.78,42740,39496,44842,39118,13766,15290,14092,13179,10993,11358,10869,9095,166196,42315,1.34,0,180220,0,41280,602380,6.68,5.49,4.71,0.070246356,0.068528172,0.275898934,25.46090159,23.25016616,24.23843718,28.75734252,25.72063641,0.922183997
klse: CAM Resources Bhd,Home Furnishings,3.4,3.1,5.18,3.44,1.75,71500,57493,64607,46425,5631,922,1256,-1619,4860,226,713,-747,240025,5052,0.58,6130,6790,47250,64580,111420,1.27,0.51,0.13,0.045341949,0.579608688,2.154236223,2.104780752,-1.60904685,1.103595586,0.393091333,6.797202797,35.34977909
klse: Ideal United Bintang International Bhd,Wholesale Distributors,4.2,5.6,4.65,4.71,1.74,53146,39633,61467,129668,-21676,-30748,-24651,17031,-21759,-31009,-25835,11826,283914,-68688,1.19,161720,43330,130570,460700,553680,2.02,1.17,0.15,-0.124057217,0.832069065,0.512776333,-24.19324162,9.120214702,-42.03068313,-78.24035526,-40.94193354,6.552365567
klse: Kanger International Bhd,Building Materials,4.1,2.1,2.39,3.25,8.74,4845,12219,11257,15692,-4902,-50,-4373,5198,-4727,208,-4293,2704,44013,-4056,0.15,16640,3390,57990,76650,159220,2.92,2.49,0.26,-0.025474187,0.481409371,0.276428841,-9.215459069,17.23171043,-38.13627076,1.702266961,-97.56449948,12.98318584
klse: AT Systematization Bhd,Industrial Machinery,3.8,1.8,0.01,3.87,9.51,7557,5055,5551,6446,110,-3324,-8966,-2465,110,-3324,-8966,-2464,24609,-14644,0.09,0,21180,5440,16520,80310,1.14,0.84,0.13,-0.182343419,0.205702901,0.306425103,-59.50668455,-38.22525597,-161.5204468,-65.75667656,1.455604076,1.161898017
klse: Malaysia Building Society Bhd,Property Developer,7.3,7.7,7.64,5.93,7.81,765572,886350,741406,784144,293964,-33506,-38982,457982,258236,-12506,-73254,356686,3177472,529162,1.31,148030,10460000,35730000,25330000,8070000,0.44,0,0,0.065571499,3.138785626,0.393738786,16.65355352,45.48730845,-9.880416398,-1.41095504,33.73111869,0.303773614
klse: Acme Holdings Bhd,Telecommunication Equipment,4,2.4,3.87,4.18,5.74,9120,2431,5837,7063,1139,-761,-1454,-25,1130,-761,-1017,-171,24451,-819,0.34,0,20710,2170,15120,95840,4.39,2.61,0.76,-0.008545492,0.157762938,0.255123122,-3.349556255,-2.421067535,-17.4233339,-31.30399013,12.39035088,1.180637373
klse: Top Glove Corp. Bhd,Gloves,4.9,3.3,1.02,5.22,10,4759253,3109116,1688324,1229777,3095525,1623554,422020,130374,2375775,1291995,347895,115683,10786470,4197247,0.61,0,2880000,1850000,3810000,4870000,2.01,1.76,1.35,0.8618577,0.782340862,2.214880903,38.91214642,9.406827417,20.6059382,41.55505938,49.91907343,3.745302083
klse: JAG Bhd,Internet Services,4.8,3.1,5.72,4.28,6.18,47913,29409,37396,35963,3982,2047,1588,2171,2455,2171,1538,2531,150681,8535,0.08,100,21820,27430,43850,154220,3.42,1.28,0.96,0.055343016,0.284334068,0.977052263,5.66428415,7.037788839,4.11273933,7.382093917,5.123870348,6.90563703
klse: Ralco Corp. Bhd,Crude Oil,2,0.9,2.54,2.97,1.44,14679,9242,13626,13139,1575,-1333,-832,-2551,1575,-1335,-834,-804,50686,-1398,0.88,0,2790,7170,38090,35720,1.38,0.8,0.11,-0.039137738,1.066349384,1.418980963,-2.758158071,-6.119187153,-6.120651695,-14.44492534,10.72961373,18.16702509
klse: Tiong Nam Logistics Holdings Bhd,Transportation,4.3,2.4,5.55,0.84,8.58,149046,122989,141576,155888,6661,-5760,2003,4060,3689,-5527,-4315,1782,569499,-3753,1.53,0,25800,1090000,1300000,685470,0.93,0.51,0.05,-0.005475075,1.896508965,0.830815353,-0.659000279,1.1431284,-3.047832966,-4.493897828,2.475074809,22.07360465
klse: Bioalpha Holdings Bhd,Construction,4.1,2.4,2.71,3.97,7.41,6871,6392,6532,18413,-10441,-8199,-5305,3945,-9709,-7932,-5503,3033,38208,-21733,0.19,52800,15040,13090,28660,161620,7.32,6.36,1.13,-0.134469744,0.177329538,0.236406385,-56.88075796,16.47205779,-84.24678506,-124.0926158,-141.3040314,2.540425532
klse: Artroniq Berhad,Industrial Specialties,3.2,1.4,0.01,4.03,7.47,57762,30837,22964,26403,-1817,-747,-492,-669,-4253,-787,-543,-757,137966,-6340,0.15,0,6100,517,12500,35400,3.15,2.13,1.42,-0.179096045,0.353107345,3.897344633,-4.595335083,-2.867098436,-2.364570632,-2.552128936,-7.362972196,22.61737705
klse: ES Ceramics Technology Bhd,Industrial Specialties,4.5,2.9,2.26,4.88,8.06,15591,11940,8476,8950,4012,3202,-259,653,4011,3202,-259,653,44957,7607,0.26,1060,26780,656,4810,58900,5.58,4.23,3.24,0.129151104,0.081663837,0.76327674,16.92061303,7.296089385,-3.055686645,26.81742044,25.7263806,1.678752801
klse: Dutch Lady Milk Industries Bhd,Food and Beverages,3.4,4,0.15,5.11,4.54,286820,273524,251169,281757,12206,28025,30105,34309,9242,21232,22733,26667,1093270,79874,2.26,510,78400,22550,330500,188380,1.08,0.61,0.21,0.424004671,1.75443253,5.803535407,7.305971992,9.464538592,9.050878094,7.762390138,3.22222997,13.94477041
klse: Westports Holdings Bhd,Transportation,4.1,3.7,0.8,4.94,7.09,528359,431602,473467,452820,270278,174714,201892,158014,203849,134340,152806,125439,1886248,616434,0.75,2397600,751900,1690000,2530000,2630000,1.63,1.62,1.07,0.234385551,0.961977186,0.717204563,32.68043227,27.70173579,32.27384379,31.1258984,38.58153263,2.508642107
klse: Guan Chong Bhd,Food and Beverages,5,5.5,3.21,4.5,6.75,841587,910777,909382,796402,58454,71590,83410,61804,46779,56976,72165,44728,3458148,220648,0.94,44280,55670,714630,1060000,1130000,1.51,0.47,0.05,0.195263717,0.938053097,3.060307965,6.380525067,5.616259125,7.935609018,6.255757447,5.558427114,62.11869948
klse: HB Global Ltd.,Food and Beverages,4.4,1.9,5.57,3.16,7.11,17429,13127,8798,28619,-4759,-1907,-6516,2042,-4759,-1907,-6516,2042,67973,-11140,0.43,0,144,63280,77910,198150,0.6,0.51,0.01,-0.056220035,0.39318698,0.343038102,-16.38886028,7.135120025,-74.06228688,-14.52731012,-27.30506627,472.0347222
klse: Focus Dynamics Group Bhd,Electrical Products,3.3,2.4,0.01,3.43,7.45,22158,11443,9279,10001,5945,3792,1230,-4690,4188,2329,748,-2886,52881,1986,0.02,90,16000,5750,33700,42500,1.38,0.74,0.28,0.046729412,0.792941176,1.244258824,3.755602201,-28.85711429,8.061213493,20.35305427,18.9006228,3.3050625
klse: Gagasan Nadi Cergas Bhd,Construction,5.7,6,7.1,4.58,5.27,55994,40092,55143,74263,2567,1644,5539,6080,1177,1608,3947,4363,225492,10002,0.59,0,83630,298420,437920,443050,2.3,2.05,1.06,0.02257533,0.988421171,0.508953843,4.43563408,5.875065645,7.157753477,4.010775217,2.10201093,2.696305154
klse: QL Resources Bhd,Agricultural Commodities,3.6,2.5,1.06,3.58,7.32,1078089,970149,979416,1107349,97320,80402,62798,97650,70130,50869,42969,76121,4135003,246448,1.24,15100,446470,1500000,2120000,2180000,1.39,0.73,0.29,0.113049541,0.972477064,1.896790367,5.960044043,6.874165236,4.387206254,5.243421371,6.505028806,9.261547248
klse: Astino Bhd,Building Materials,6.5,6.5,6.79,5.43,7.12,160198,127051,92182,149289,15555,9631,3601,9237,11468,7302,4170,6720,528720,29660,1.48,0,64980,65570,133080,401920,2.84,1.32,0.59,0.07379578,0.331110669,1.315485669,5.60977455,4.501336334,4.523659717,5.747298329,7.158641182,8.136657433
klse: CabNet Holdings Bhd,Engineering,4.5,4.4,4.91,5.19,3.42,11827,8038,12285,21748,169,-1101,-17,584,6,-898,-62,347,53898,-553,0.27,100,6610,11350,21710,47050,2.71,2.5,0.58,-0.011753454,0.461424017,1.14554729,-1.026012097,1.595549016,-0.504680505,-11.17193332,0.050731377,8.154009077
